K,Betha,Alpha,P,Q,PurePercent
3,0.5,0.01,0.01,0.003,50.2733472050081
3,0.5,0.01,0.01,0.004,46.7538233764211
3,0.5,0.01,0.01,0.005,42.9257095754555
3,0.5,0.01,0.01,0.006,40.9567097580861
3,0.5,0.01,0.01,0.007,40.6798213192501
3,0.5,0.01,0.01,0.008,38.11920473585
3,0.5,0.01,0.01,0.009,35.1310120645855
3,0.5,0.01,0.01,0.01,34.8996992573925
3,0.5,0.01,0.02,0,100
3,0.5,0.01,0.02,0.002,55.710212267628
3,0.5,0.01,0.02,0.004,40.3839723345193
3,0.5,0.01,0.02,0.006,33.6354645624579
3,0.5,0.01,0.02,0.008,28.5586425492239
3,0.5,0.01,0.02,0.01,26.0944179208208
3,0.5,0.01,0.02,0.012,24.7518172229928
3,0.5,0.01,0.02,0.014,23.0738540647202
3,0.5,0.01,0.02,0.016,22.9577147641579
3,0.5,0.01,0.02,0.018,23.525043741429
3,0.5,0.01,0.02,0.02,20.2378466977655
3,0.5,0.01,0.03,0,100
3,0.5,0.01,0.03,0.003,41.0284616561512
3,0.5,0.01,0.03,0.006,29.2133087536374
3,0.5,0.01,0.03,0.009,26.6047907510467
3,0.5,0.01,0.03,0.012,19.807667410969
3,0.5,0.01,0.03,0.015,18.5031413805829
3,0.5,0.01,0.03,0.018,16.6151441012557
3,0.5,0.01,0.03,0.021,16.1015789073041
3,0.5,0.01,0.03,0.024,15.2512468572459
3,0.5,0.01,0.03,0.027,15.3986719745264
3,0.5,0.01,0.03,0.03,14.7304677702666
3,0.5,0.01,0.04,0,100
3,0.5,0.01,0.04,0.004,33.1570111426755
3,0.5,0.01,0.04,0.008,23.1147978464023
3,0.5,0.01,0.04,0.012,19.8517369931544
3,0.5,0.01,0.04,0.016,15.8136318145923
3,0.5,0.01,0.04,0.02,13.5795219086249
3,0.5,0.01,0.04,0.024,13.7796314217028
3,0.5,0.01,0.04,0.028,13.057492861705
3,0.5,0.01,0.04,0.032,12.8963713274231
3,0.5,0.01,0.04,0.036,11.1694421318259
3,0.5,0.01,0.04,0.04,11.3485391901261
3,0.5,0.01,0.05,0,100
3,0.5,0.01,0.05,0.005,28.2353719274524
3,0.5,0.01,0.05,0.01,17.2981674322849
3,0.5,0.01,0.05,0.015,16.2355787689268
3,0.5,0.01,0.05,0.02,13.6267496449063
3,0.5,0.01,0.05,0.025,11.5113538767751
3,0.5,0.01,0.05,0.03,10.1061224640116
3,0.5,0.01,0.05,0.035,9.51218840789224
3,0.5,0.01,0.05,0.04,9.39964525505466
3,0.5,0.01,0.05,0.045,8.73345075478426
3,0.5,0.01,0.05,0.05,8.51285519956793
3,0.5,0.01,0.06,0,100
3,0.5,0.01,0.06,0.006,28.5004649141313
3,0.5,0.01,0.06,0.012,17.9254934672295
3,0.5,0.01,0.06,0.018,13.452472320877
3,0.5,0.01,0.06,0.024,9.94559360129091
3,0.5,0.01,0.06,0.03,10.0899283042256
3,0.5,0.01,0.06,0.036,8.46052148407244
3,0.5,0.01,0.06,0.042,7.74809775493188
3,0.5,0.01,0.06,0.048,7.32833450966299
3,0.5,0.01,0.06,0.054,7.71507315732289
3,0.5,0.01,0.06,0.06,6.34079077285391
3,0.5,0.01,0.07,0,100
3,0.5,0.01,0.07,0.007,20.8718579904306
3,0.5,0.01,0.07,0.014,15.1685980995841
3,0.5,0.01,0.07,0.021,10.3916209363347
3,0.5,0.01,0.07,0.028,8.75040475387808
3,0.5,0.01,0.07,0.035,7.02177112548959
3,0.5,0.01,0.07,0.042,7.63250860217419
3,0.5,0.01,0.07,0.049,6.50589499861906
3,0.5,0.01,0.07,0.056,6.52446265582978
3,0.5,0.01,0.07,0.063,6.26627500706686
3,0.5,0.01,0.07,0.07,6.87045856798995
3,0.5,0.01,0.08,0,100
3,0.5,0.01,0.08,0.008,20.174557251789
3,0.5,0.01,0.08,0.016,11.4967811283509
3,0.5,0.01,0.08,0.024,10.3861838160633
3,0.5,0.01,0.08,0.032,8.48343967107506
3,0.5,0.01,0.08,0.04,7.04122130981668
3,0.5,0.01,0.08,0.048,6.84353587128467
3,0.5,0.01,0.08,0.056,6.22303505261425
3,0.5,0.01,0.08,0.064,5.55341594705657
3,0.5,0.01,0.08,0.072,5.63101570325501
3,0.5,0.01,0.08,0.08,5.73821589342654
3,0.5,0.01,0.09,0,100
3,0.5,0.01,0.09,0.009,17.509378952312
3,0.5,0.01,0.09,0.018,12.0555023066197
3,0.5,0.01,0.09,0.027,8.21271737702304
3,0.5,0.01,0.09,0.036,7.1739557851983
3,0.5,0.01,0.09,0.045,5.72417656117747
3,0.5,0.01,0.09,0.054,4.90880618226713
3,0.5,0.01,0.09,0.063,5.30350348215802
3,0.5,0.01,0.09,0.072,4.46602397249307
3,0.5,0.01,0.09,0.081,5.37968416026381
3,0.5,0.01,0.09,0.09,4.30516177673473
3,0.5,0.01,0.1,0,100
3,0.5,0.01,0.1,0.01,19.0022561691745
3,0.5,0.01,0.1,0.02,8.28162530697649
3,0.5,0.01,0.1,0.03,7.00788986570692
3,0.5,0.01,0.1,0.04,6.24729485411984
3,0.5,0.01,0.1,0.05,5.29644027474039
3,0.5,0.01,0.1,0.06,4.67532390956258
3,0.5,0.01,0.1,0.07,5.01173494609134
3,0.5,0.01,0.1,0.08,4.56682676559599
3,0.5,0.01,0.1,0.09,4.13254927265698
3,0.5,0.01,0.1,0.1,3.98697754553506
3,0.5,0.015,0.01,0,100
3,0.5,0.015,0.01,0.001,76.5422207479483
3,0.5,0.015,0.01,0.002,66.761996830798
3,0.5,0.015,0.01,0.003,62.6793435371043
3,0.5,0.015,0.01,0.004,57.6705472059728
3,0.5,0.015,0.01,0.005,53.8855816010615
3,0.5,0.015,0.01,0.006,51.1681470827158
3,0.5,0.015,0.01,0.007,47.9084312463586
3,0.5,0.015,0.01,0.008,47.6201472502531
3,0.5,0.015,0.01,0.009,45.4444244364719
3,0.5,0.015,0.01,0.01,47.5061698363556
3,0.5,0.015,0.02,0,100
3,0.5,0.015,0.02,0.002,68.0988207789818
3,0.5,0.015,0.02,0.004,50.525264855188
3,0.5,0.015,0.02,0.006,42.214904711617
3,0.5,0.015,0.02,0.008,38.0661073540487
3,0.5,0.015,0.02,0.01,37.8219597625912
3,0.5,0.015,0.02,0.012,32.217455085115
3,0.5,0.015,0.02,0.014,31.7076072259374
3,0.5,0.015,0.02,0.016,30.3000051287864
3,0.5,0.015,0.02,0.018,30.2375943094881
3,0.5,0.015,0.02,0.02,29.4381418307144
3,0.5,0.015,0.03,0,100
3,0.5,0.015,0.03,0.003,55.1891684042679
3,0.5,0.015,0.03,0.006,42.132001695027
3,0.5,0.015,0.03,0.009,31.9595884301132
3,0.5,0.015,0.03,0.012,28.7107058907564
3,0.5,0.015,0.03,0.015,25.5774727247783
3,0.5,0.015,0.03,0.018,23.6236587422416
3,0.5,0.015,0.03,0.021,21.4571487599501
